Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame,pct_change,log_return,Close_norm,sentiment_mix
2023-01-28,0.4127,0.4168,0.4055,0.4078,148949278.0,XRP,61120997.8106,83036,0.0001,52.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-1.2112403100775215,-0.012186356026998198,0.021728302826547124,
2023-01-29,0.4078,0.4173,0.4066,0.4134,166884667.0,XRP,68802706.7642,95305,0.0001,55.0,,311001352.7915209,258583.0,23801445.138934355,,1d,1.3732221677292822,0.013638789107313117,0.023471547752459212,
2023-01-30,0.4135,0.4222,0.386,0.3934,433795926.0,XRP,174875593.0656,205691,0.0001,61.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-4.837929366231242,-0.04958874129270907,0.0172456730170589,
2023-01-31,0.3933,0.4113,0.388,0.4057,346580963.0,XRP,138238341.7796,166935,9.724e-05,51.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,3.126588713777312,0.03078706425744272,0.021074585979330093,
2023-02-01,0.4058,0.4157,0.3962,0.4131,379103907.0,XRP,153259801.5671,186726,0.0001,56.0,,267991996.5546664,345561.0,20346134.4270868,,1d,1.8240078876016863,0.018075724190317402,0.023378159631428218,
2023-02-02,0.4132,0.4192,0.408,0.4098,322532370.0,XRP,133341656.2179,165464,0.0001,60.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-0.7988380537400253,-0.008020458597919581,0.022350890300087158,
2023-02-03,0.4097,0.4137,0.4054,0.4117,274689680.0,XRP,112603154.4869,133447,0.0001,60.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,0.4636408003904302,0.0046256929710595815,0.022942348399950192,
2023-02-04,0.4116,0.4204,0.4075,0.4106,178134111.0,XRP,73370958.019,95986,0.0001,58.0,,266035850.5944133,304495.0,20355870.13465612,,1d,-0.2671848433325241,-0.0026754241910258107,0.022599925289503178,
2023-02-05,0.4106,0.412,0.3942,0.3984,237111362.0,XRP,95563098.0889,134236,0.0001,58.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-2.971261568436445,-0.030162978874390137,0.018802141700908964,
2023-02-06,0.3985,0.4037,0.3909,0.392,315995053.0,XRP,125897156.2863,145740,8.815666666666667e-05,56.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-1.6064257028112316,-0.016194685919980495,0.016809861785580874,
2023-02-07,0.3921,0.4048,0.3901,0.4036,356160688.0,XRP,141141108.6065,145406,0.0001,54.0,,277772726.3559315,300429.0,21204357.623230755,,1d,2.95918367346939,0.029162448688991375,0.02042086913211306,
2023-02-08,0.4037,0.406,0.3936,0.3975,263188839.0,XRP,105265066.8744,104320,0.0001,58.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-1.5113974231912741,-0.015229354385067256,0.018521977337815965,
2023-02-09,0.3975,0.4092,0.3726,0.3819,526681339.0,XRP,206981490.6035,255958,0.0001,55.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-3.9245283018867982,-0.040036139862916126,0.01366579504420371,
2023-02-10,0.3818,0.3878,0.3771,0.3817,279931749.0,XRP,107300522.3004,129469,1.0503333333333332e-05,48.0,,287553456.1571967,300092.0,20573391.75123331,,1d,-0.05236973029589809,-0.0005238344802865658,0.013603536296849697,
2023-02-11,0.3818,0.3841,0.3798,0.3833,123179600.0,XRP,47064308.7616,59338,9.578666666666668e-05,49.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,0.41917736442231845,0.004183012635325325,0.01410160627568172,
2023-02-12,0.3834,0.385,0.3716,0.3747,135976322.0,XRP,51727784.2532,70222,-8.19333333333333e-06,50.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-2.243673362901122,-0.02269226658686772,0.011424480139459582,
2023-02-13,0.3747,0.3783,0.3612,0.3703,382768169.0,XRP,141477064.7839,158099,-0.00011437,48.0,,303650131.9290037,299329.0,21667418.164248344,,1d,-1.1742727515345552,-0.011812217880074622,0.010054787697671522,
