Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame
2025-01-01,2.0835,2.3547,2.0808,2.3321,1343826102.4,XRP,2990765627.63076,3662023,0.0001,66.0,,,,,,1d
2025-01-02,2.3321,2.4518,2.3286,2.4025,1416036195.7,XRP,3393466735.11766,3794579,0.0001,70.0,,911368528.6131656,402440.0,50856759.022372745,,1d
2025-01-03,2.4026,2.4813,2.3963,2.4544,1053819704.6,XRP,2569471365.03223,2779863,0.0001,74.0,,,,,,1d
2025-01-04,2.4544,2.5105,2.4008,2.4202,749351695.3,XRP,1833480813.13023,2144390,0.0001,73.0,,,,,,1d
2025-01-05,2.4201,2.4284,2.3269,2.3988,718807267.3,XRP,1709159997.81055,2007838,0.0001,72.0,,851338266.2494245,433954.0,49028390.2707316,30.0,1d
2025-01-06,2.3988,2.4587,2.3657,2.4194,743390483.6,XRP,1794107092.98831,2237000,0.0001,76.0,,,,,,1d
2025-01-07,2.4194,2.4693,2.2562,2.2698,1353095278.3,XRP,3187888797.43439,3406771,0.0001,78.0,,,,,,1d
2025-01-08,2.2698,2.3981,2.1984,2.3722,1593054853.2,XRP,3679205340.81698,4572365,4.789333333333334e-05,70.0,,682162072.3152436,399976.0,38731743.14653424,,1d
2025-01-09,2.3722,2.3953,2.2333,2.271,1120380451.6,XRP,2584239042.97338,3296879,7.608333333333334e-05,69.0,,,,,,1d
2025-01-10,2.271,2.3692,2.2452,2.3411,909692219.9,XRP,2093210636.86027,2592746,8.7e-05,50.0,,,,,,1d
2025-01-11,2.3411,2.6038,2.3241,2.5761,1317622672.9,XRP,3245628113.68771,3551305,0.0001,69.0,,753106927.8360293,361190.0,41261535.49680089,,1d
2025-01-12,2.5761,2.5835,2.47,2.5031,1017442894.5,XRP,2563915504.00136,2877199,0.0001,62.0,,,,,76.0,1d
2025-01-13,2.5032,2.563,2.3307,2.5225,2020981682.1,XRP,4950706219.04074,5186667,6.781e-05,61.0,,,,,,1d
2025-01-14,2.5224,2.7012,2.5111,2.6668,1235302219.6,XRP,3210419168.5268,3461771,0.0001,63.0,,845551490.8919123,352684.0,48024069.39001907,,1d
2025-01-15,2.6668,3.1992,2.6489,3.1411,3228987039.9,XRP,9330255559.13724,8519912,0.0001,70.0,,,,,,1d
2025-01-16,3.1411,3.4043,2.9211,3.2433,3757016808.8,XRP,12022016269.55216,10358769,9.136333333333333e-05,75.0,,,,,,1d
2025-01-17,3.2432,3.352,3.1718,3.2911,1723232791.3,XRP,5628372935.10415,5379551,4.8333333333333334e-05,75.0,,823589114.5051093,425661.0,49088495.97809198,,1d
2025-01-18,3.2911,3.2973,3.0551,3.2695,1546799056.5,XRP,4915442018.9765,5027748,6.844e-05,77.0,,,,,,1d
2025-01-19,3.2694,3.293,2.8301,2.9555,1822239477.9,XRP,5657096549.09309,6193643,6.279333333333334e-05,77.0,,,,,60.0,1d
2025-01-20,2.9552,3.3717,2.905,3.1042,2362755347.7,XRP,7505250728.93194,8836801,8.560333333333333e-05,76.0,,834570302.6985108,350291.0,52231151.07326733,,1d
2025-01-21,3.1042,3.2394,3.0128,3.1735,1091017965.6,XRP,3408252734.70029,4474977,6.0286666666666667e-05,76.0,,,,,,1d
2025-01-22,3.1735,3.2866,3.1268,3.1788,953015704.2,XRP,3049464011.09399,3548574,0.0001,84.0,,,,,,1d
2025-01-23,3.179,3.1837,3.0361,3.1186,925073175.2,XRP,2882122371.60328,3500953,6.54e-05,75.0,,746720797.1512991,326010.0,45141421.668283015,,1d
2025-01-24,3.1186,3.2028,3.0523,3.0985,658627711.0,XRP,2068200796.56606,2600373,7.791666666666667e-05,75.0,,,,,,1d
2025-01-25,3.0984,3.1435,3.0751,3.1069,334122226.5,XRP,1040769293.35131,1558599,4.086333333333333e-05,75.0,,,,,,1d
2025-01-26,3.107,3.1451,3.0081,3.0198,391881949.1,XRP,1214201630.43177,1511266,0.0001,73.0,,752211391.2479999,309651.0,45984551.185417086,44.0,1d
2025-01-27,3.0199,3.0573,2.645,3.0533,1951675174.1,XRP,5626995617.16684,6754805,1.201666666666667e-05,71.0,,,,,,1d
2025-01-28,3.0533,3.214,3.0048,3.0553,1142042771.2,XRP,3563394079.00156,3773483,8.641999999999999e-05,72.0,,,,,,1d
2025-01-29,3.0553,3.1356,2.966,3.0671,861947599.0,XRP,2644584867.57846,2936984,3.5386666666666664e-05,72.0,,832962291.0549035,355332.0,50806098.81323439,,1d
2025-01-30,3.0671,3.1536,3.0459,3.127,502775157.0,XRP,1565729594.90198,1762092,9.046333333333335e-05,70.0,,,,,,1d
2025-01-31,3.1269,3.1329,3.001,3.0347,518587331.0,XRP,1591708147.43431,1770459,0.0001,76.0,,,,,,1d
2025-02-01,3.0347,3.0713,2.8267,2.8768,628492263.1,XRP,1861412380.04722,2172379,-1.1386666666666666e-05,68.0,,988806848.7361435,357439.0,59813383.882176995,,1d
2025-02-02,2.8767,2.9533,2.4501,2.5784,2055817771.8,XRP,5535700742.10782,6798160,7.655333333333334e-05,60.0,,,,,45.0,1d
2025-02-03,2.5784,2.7793,1.7636,2.6989,4823663189.5,XRP,11290840299.52748,14710835,-5.8706666666666665e-05,44.0,,,,,,1d
2025-02-04,2.6988,2.786,2.4203,2.5253,2113017624.2,XRP,5481616842.34671,6729440,-2.3069999999999998e-05,72.0,,703987484.6980155,308619.0,41194953.77868615,,1d
2025-02-05,2.5254,2.5677,2.3418,2.3799,1225604300.1,XRP,3025228432.30805,3614553,-5.733666666666667e-05,54.0,,,,,,1d
