Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame
2025-01-16,714.37,717.75,700.62,708.05,676602.38,BNB,480555660.464,981082,0.0,75.0,,,,,,1d
2025-01-17,708.06,730.61,708.05,722.09,649554.16,BNB,468659968.2891,1002812,1.196e-05,75.0,,823589114.5051093,425661.0,49088495.97809198,,1d
2025-01-18,722.09,723.63,694.88,709.91,760807.1,BNB,536334516.9492,1193542,0.0,77.0,,,,,,1d
2025-01-19,709.91,715.26,676.01,683.39,1337593.72,BNB,929393427.1269,1910757,7.264666666666666e-05,77.0,,,,,81.0,1d
2025-01-20,683.39,709.99,670.0,682.84,1409715.47,BNB,971140451.5278,2117243,8.657666666666667e-05,76.0,,834570302.6985108,350291.0,52231151.07326733,,1d
2025-01-21,682.83,697.66,675.31,692.54,665320.65,BNB,457248862.6754,1123788,5.268000000000001e-05,76.0,,,,,,1d
2025-01-22,692.55,704.23,690.15,695.95,471791.73,BNB,328783702.9799,762468,3.804666666666667e-05,84.0,,,,,,1d
2025-01-23,695.96,698.11,680.2,690.12,691722.65,BNB,475515231.0343,1041283,2.500666666666667e-05,75.0,,746720797.1512991,326010.0,45141421.668283015,,1d
2025-01-24,690.13,691.74,678.66,680.46,499177.46,BNB,342248602.4698,745477,2.7886666666666665e-05,75.0,,,,,,1d
2025-01-25,680.46,690.08,677.61,686.74,282447.72,BNB,193444616.04,514378,2.8973333333333333e-05,75.0,,,,,,1d
2025-01-26,686.74,691.36,664.14,666.64,422167.65,BNB,286995358.2591,607821,2.4643333333333335e-05,73.0,,752211391.2479999,309651.0,45984551.185417086,81.0,1d
2025-01-27,666.64,680.96,635.98,680.16,1185299.07,BNB,780522340.8616,1796774,-3.9353333333333335e-05,71.0,,,,,,1d
2025-01-28,680.17,683.25,659.13,661.08,572884.54,BNB,385517770.7815,870910,0.0,72.0,,,,,,1d
2025-01-29,661.07,679.35,659.22,667.94,593069.9,BNB,397435594.5457,958103,0.0,72.0,,832962291.0549035,355332.0,50806098.81323439,,1d
2025-01-30,667.93,683.21,665.8,677.87,397838.75,BNB,269716636.9467,603639,0.0,70.0,,,,,,1d
2025-01-31,677.88,689.53,673.71,677.79,430789.41,BNB,293171027.8769,699146,0.0,76.0,,,,,,1d
2025-02-01,677.79,681.86,650.43,652.83,399478.23,BNB,266441233.0392,688691,2.0216666666666666e-05,68.0,,988806848.7361435,357439.0,59813383.882176995,,1d
2025-02-02,652.83,663.05,598.71,617.69,1265885.54,BNB,800756558.0397,2012799,0.0,60.0,,,,,78.0,1d
2025-02-03,617.69,618.74,499.04,616.76,2732005.03,BNB,1561953996.1096,3823260,0.0,44.0,,,,,,1d
2025-02-04,616.76,618.74,558.05,572.81,1398666.18,BNB,814215201.8097,2144609,0.0,72.0,,703987484.6980155,308619.0,41194953.77868615,,1d
2025-02-05,572.81,579.9,560.93,569.42,621616.61,BNB,354976770.0702,1107467,0.0,54.0,,,,,,1d
2025-02-06,569.42,589.27,568.76,571.47,781955.21,BNB,452501070.6922,1263764,-3.54e-06,49.0,,,,,,1d
2025-02-07,571.5,589.76,570.06,577.42,602114.26,BNB,349855437.2029,1036910,-5.731e-05,44.0,,929693395.8225701,498394.0,56217352.926798366,,1d
2025-02-08,577.42,633.0,573.36,612.27,1113824.17,BNB,675008948.3249,1368010,0.0,44.0,,,,,,1d
2025-02-09,612.27,646.87,602.25,615.36,1749522.15,BNB,1096637256.0072,1902438,-0.00014685999999999999,46.0,,,,,78.0,1d
2025-02-10,615.36,622.28,596.0,618.38,1048117.61,BNB,637077872.7479,1408747,0.0,43.0,,788864727.616627,359522.0,43320703.27320515,,1d
2025-02-11,618.39,646.55,614.79,641.58,1370541.01,BNB,869516709.1868,1722714,0.0,47.0,,,,,,1d
2025-02-12,641.57,706.0,626.29,696.76,2203474.88,BNB,1461721314.2381,2519823,-4.9460000000000004e-05,46.0,,,,,,1d
2025-02-13,696.77,730.95,659.3,664.35,4325158.66,BNB,3019028156.4533,4397221,-0.00018355333333333333,50.0,,896695158.0102665,379906.0,48803029.99107258,,1d
2025-02-14,664.35,684.37,651.05,659.42,1534439.55,BNB,1025785509.9836,1876749,-1.759e-05,48.0,,,,,,1d
2025-02-15,659.41,671.23,653.24,661.76,754031.73,BNB,498327679.6604,1054207,-6.298666666666666e-05,50.0,,,,,,1d
2025-02-16,661.77,684.5,653.01,672.65,1053630.87,BNB,704937510.6778,1383664,-0.00013163333333333333,54.0,,856968157.3389257,300091.0,46930841.28289941,80.0,1d
2025-02-17,672.65,681.85,657.04,667.12,994878.77,BNB,667024347.6393,1343705,-0.00010814,51.0,,,,,,1d
2025-02-18,667.12,667.91,629.74,648.04,1130250.46,BNB,733294974.8494,1554651,-6.527666666666666e-05,47.0,,,,,,1d
2025-02-19,648.06,664.41,637.28,653.11,968492.19,BNB,631677939.5789,1306584,-6.141e-05,44.0,,715086012.0841366,448569.0,38342134.3854138,,1d
2025-02-20,653.11,658.94,645.37,655.94,663019.31,BNB,431860562.0119,980886,-4.328666666666667e-05,49.0,,,,,,1d
2025-02-21,655.95,667.71,633.95,647.11,1008333.87,BNB,659007810.2484,1390544,-0.00017402666666666664,55.0,,,,,,1d
2025-02-22,647.1,679.72,644.75,668.13,987820.11,BNB,656632108.0977,1195383,-0.00018016333333333335,49.0,,788864727.616627,551849.0,42595344.10286018,,1d
2025-02-23,668.13,670.72,648.03,657.65,508907.82,BNB,335233345.5686,808137,-0.00012236666666666667,50.0,,,,,76.0,1d
2025-02-24,657.65,658.79,610.0,614.06,1004855.69,BNB,637083772.033,1608765,-0.00021014333333333336,49.0,,,,,,1d
2025-02-25,614.06,627.6,585.71,622.87,1618939.43,BNB,983922049.6105,2409101,-1.4676666666666666e-05,25.0,,807968798.3546175,497063.0,42857483.777941674,,1d
2025-02-26,622.87,631.47,593.79,611.5,1076407.39,BNB,661924418.579,1531954,-0.00018451333333333332,21.0,,,,,,1d
2025-02-27,611.51,619.46,595.3,605.19,779582.76,BNB,475216542.7269,1103545,0.0,10.0,,,,,,1d
2025-02-28,605.19,606.23,559.56,587.82,1457088.77,BNB,844004621.1249,2129790,-5.241e-05,16.0,,857436275.8049003,386183.0,40709492.42352019,,1d
2025-03-01,587.83,608.99,586.13,607.28,689431.77,BNB,412102694.053,979705,-0.00018097666666666668,20.0,,,,,,1d
2025-03-02,607.27,634.5,601.41,623.53,1012920.92,BNB,626682740.6214,1407510,-9.096333333333332e-05,26.0,,,,,75.0,1d
2025-03-03,623.54,623.89,567.0,575.72,1148525.19,BNB,684049761.5122,1718631,-9.181e-05,33.0,,824457957.5047117,374224.0,43308113.80620068,,1d
2025-03-04,575.73,588.28,545.51,583.8,1258457.38,BNB,714488193.9161,1922861,-8.117333333333334e-05,15.0,,,,,,1d
2025-03-05,583.8,605.48,580.4,597.93,626071.29,BNB,371840975.2731,973377,-3.318e-05,20.0,,,,,,1d
2025-03-06,597.92,611.82,589.09,596.27,621313.39,BNB,373527483.4695,876489,0.0,25.0,,934385685.1720064,370349.0,49258687.207736224,,1d
2025-03-07,596.28,610.36,577.04,594.53,855436.53,BNB,510595641.9886,1280053,0.0,34.0,,,,,,1d
2025-03-08,594.53,602.48,589.89,592.8,343925.42,BNB,205256100.9795,581410,0.0,28.0,,,,,,1d
2025-03-09,592.8,592.81,549.67,554.4,763865.28,BNB,434201710.5814,1102726,-4.3559999999999996e-05,27.0,,878012411.8108668,300380.0,42556646.31233789,75.0,1d
2025-03-10,554.41,573.33,522.71,531.25,1103583.35,BNB,605340762.6773,1637796,-3.5953333333333334e-05,20.0,,,,,,1d
2025-03-11,531.29,565.24,506.47,551.47,1581408.32,BNB,861241450.2498,2102420,-4.137e-05,24.0,,,,,,1d
2025-03-12,551.48,575.0,544.0,569.75,1127972.21,BNB,630859456.3517,1406817,-4.743333333333333e-06,34.0,,852972260.0961236,428828.0,40530980.77892335,,1d
