Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame,pct_change,log_return,Close_norm,sentiment_mix
2025-06-01,657.92,662.44,647.12,660.66,361412.11,BNB,236358144.5682,628080,-1.3983333333333334e-05,56.0,,839539043.1681639,256072.0,43808675.73054219,90.0,1d,,,0.06502488713971517,69.6
2025-06-02,660.65,667.24,649.61,665.93,434626.8,BNB,285845661.4828,699227,0.0,64.0,,943761535.5163916,426207.7333333333,53390744.95249626,89.42857142857143,1d,0.7976871613235126,0.007945224557800522,0.07265019099432794,74.17142857142858
2025-06-03,665.93,673.76,656.66,661.33,449486.17,BNB,299302662.1727,650835,0.0,64.0,,943761535.5163916,426207.7333333333,53390744.95249626,88.85714285714286,1d,-0.6907632934392338,-0.006931601069929943,0.06599432804722771,73.94285714285715
2025-06-04,661.33,671.83,660.64,662.93,396008.48,BNB,264299735.7331,590242,0.0,62.0,,795352777.73826,337037.0,41910547.6862086,88.28571428571429,1d,0.24193670330998618,0.002416445076587322,0.0683094108114364,72.5142857142857
2025-06-05,662.93,670.74,622.05,632.9,880284.36,BNB,572076168.9043,1137886,0.0,57.0,,943761535.5163916,426207.7333333333,53390744.95249626,87.71428571428571,1d,-4.529890033638539,-0.046356972136753,0.02485820118069214,69.28571428571428
2025-06-06,632.9,651.12,628.56,642.25,518637.65,BNB,333135202.4732,757483,-0.0001146833333333,45.0,,943761535.5163916,426207.7333333333,53390744.95249626,87.14285714285714,1d,1.4773265918786471,0.01466520420873322,0.03838696608403747,61.857142857142854
2025-06-07,642.26,653.54,639.13,650.41,288186.53,BNB,186749646.4818,484110,-2.089e-05,52.0,,902662279.4965968,290718.0,47398989.35463319,86.57142857142857,1d,1.270533281432451,0.012625297279162822,0.05019388818150241,65.82857142857142
2025-06-08,650.41,656.19,646.21,651.64,242049.05,BNB,157566159.512,383235,-1.7126666666666666e-05,62.0,,943761535.5163916,426207.7333333333,53390744.95249626,86.0,1d,0.18911148352578344,0.0018893289288127429,0.05197360805648797,71.6
2025-06-09,651.65,667.76,647.52,665.61,401145.08,BNB,263397483.2052,576179,-5.586e-05,62.0,,943761535.5163916,426207.7333333333,53390744.95249626,86.28571428571429,1d,2.1438217420661765,0.02121165123463211,0.07218717444148627,71.71428571428572
2025-06-10,665.61,674.59,656.77,673.66,596903.36,BNB,396836026.8275,846218,-9.466666666666669e-06,71.0,,1066782693.950524,428797.0,58400130.58904057,86.57142857142857,1d,1.2094169258274334,0.012021619162899979,0.08383493459891184,77.22857142857143
2025-06-11,673.67,674.43,662.06,667.58,479501.21,BNB,320782774.0768,734454,0.0,72.0,,943761535.5163916,426207.7333333333,53390744.95249626,86.85714285714286,1d,-0.9025324347593622,-0.009066299315289916,0.07503762009491842,77.94285714285715
2025-06-12,667.59,670.24,651.42,654.41,472428.82,BNB,313120763.7375,784639,0.0,71.0,,943761535.5163916,426207.7333333333,53390744.95249626,87.14285714285714,1d,-1.9727972677431982,-0.01992516693483519,0.055981595092024466,77.45714285714286
2025-06-13,654.41,659.7,637.55,655.04,656867.84,BNB,426766011.9347,1009261,-2.8896666666666667e-05,61.0,,915286926.762284,351499.0,48859546.300097495,87.42857142857143,1d,0.09626992252562694,0.0009622361275491522,0.05689315893043168,71.57142857142858
2025-06-14,655.03,655.05,638.37,645.23,294994.11,BNB,190647010.4307,509497,-8.221666666666667e-05,63.0,,943761535.5163916,426207.7333333333,53390744.95249626,87.71428571428571,1d,-1.4976184660478675,-0.015089460092665216,0.04269880773237643,72.88571428571427
2025-06-15,645.23,651.76,642.36,647.92,247482.81,BNB,160255386.9463,462179,-5.109333333333333e-05,60.0,,943761535.5163916,426207.7333333333,53390744.95249626,88.0,1d,0.4169055995536297,0.004160389560474845,0.04659104062970242,71.2
2025-06-16,647.93,659.62,646.0,650.74,344752.07,BNB,225703836.7312,548026,0.0,61.0,,917456209.4405266,361092.0,49380099.58294062,87.57142857142857,1d,0.43523891838499473,0.004342944931504433,0.05067137400162054,71.62857142857143
2025-06-17,650.74,659.25,640.0,648.04,548283.83,BNB,357357792.9803,785297,0.0,68.0,,943761535.5163916,426207.7333333333,53390744.95249626,87.14285714285714,1d,-0.4149122537419059,-0.0041577540300214615,0.04676467183701809,75.65714285714284
2025-06-18,648.04,654.19,636.69,644.33,498276.26,BNB,321310024.2651,739343,-5.8546666666666666e-05,52.0,,943761535.5163916,426207.7333333333,53390744.95249626,86.71428571428571,1d,-0.5724955249675867,-0.0057414056211201195,0.041396573677509,65.88571428571429
2025-06-19,644.33,646.43,638.24,644.51,267450.95,BNB,171917373.8018,463855,-2.284666666666667e-05,57.0,,798061223.2804582,308332.0,42106155.08953161,86.28571428571429,1d,0.02793599553023718,0.0002793209415758047,0.04165702048848242,68.71428571428572
2025-06-20,644.52,654.0,637.88,641.68,459301.24,BNB,296157545.2041,607893,0.0,54.0,,943761535.5163916,426207.7333333333,53390744.95249626,85.85714285714286,1d,-0.43909326465066956,-0.004400601104004021,0.037562217849288,66.74285714285715
2025-06-21,641.69,644.96,620.91,628.75,463181.21,BNB,294067748.6591,665015,-5.024e-05,49.0,,943761535.5163916,426207.7333333333,53390744.95249626,85.42857142857143,1d,-2.015023064455801,-0.020356015644720123,0.018853455261025547,63.57142857142857
2025-06-22,628.75,635.41,600.91,615.72,771802.31,BNB,476561777.909,1115391,-4.178333333333334e-05,42.0,,672382290.480386,265421.0,34173347.374878295,85.0,1d,-2.0723658051689853,-0.020941406672075214,0.0,59.2
2025-06-23,615.72,642.56,614.86,640.02,702895.58,BNB,439378962.987,995852,0.0,47.0,,943761535.5163916,426207.7333333333,53390744.95249626,84.57142857142857,1d,3.9465991034886017,0.03870711112357275,0.0351603194814214,62.028571428571425
2025-06-24,640.02,643.9,635.75,643.3,366832.98,BNB,234720882.1975,571977,-9.766666666666668e-05,65.0,,943761535.5163916,426207.7333333333,53390744.95249626,84.14285714285714,1d,0.512483984875467,0.0051117525515081514,0.039906239148049444,72.65714285714286
2025-06-25,643.29,653.09,641.41,646.1,556507.34,BNB,359553064.6847,674902,0.0,66.0,,898604369.5205159,387919.0,48334581.60969528,83.71428571428571,1d,0.43525571273124175,0.0043431121471652285,0.04395763398541498,73.08571428571429
2025-06-26,646.1,649.94,640.73,642.05,312360.97,BNB,201627218.5995,515810,0.0,74.0,,943761535.5163916,426207.7333333333,53390744.95249626,83.28571428571429,1d,-0.6268379507816224,-0.006288108286836913,0.0380975807385113,77.71428571428572
2025-06-27,642.05,648.45,638.58,645.56,260803.54,BNB,168134955.2443,421630,0.0,65.0,,943761535.5163916,426207.7333333333,53390744.95249626,82.85714285714286,1d,0.546686395140572,0.005451974890338799,0.04317629355249439,72.14285714285714
2025-06-28,645.57,648.99,644.0,648.38,130000.31,BNB,84006091.7152,264391,0.0,65.0,,911172262.800523,388943.0,49716381.35582992,82.42857142857143,1d,0.4368300390358737,0.004358787060867371,0.04725662692441251,71.97142857142858
2025-06-29,648.37,656.06,646.46,654.96,204184.44,BNB,132750001.2222,357554,0.0,68.0,,943761535.5163916,426207.7333333333,53390744.95249626,82.0,1d,1.0148369783151923,0.010097220839703701,0.05677740479222134,73.6
2025-06-30,654.96,660.0,651.19,656.99,311402.68,BNB,204031535.5557,506108,0.0,66.0,,943761535.5163916,426207.7333333333,53390744.95249626,82.57142857142857,1d,0.3099425919140142,0.0030946326004295914,0.05971466604931125,72.62857142857143
2025-07-01,656.99,659.2,643.65,646.11,291724.16,BNB,189716681.8595,473313,0.0,64.0,,779081248.5096745,325613.0,45807660.2879142,83.14285714285714,1d,-1.6560373826085661,-0.016699029744011273,0.04397210325269127,71.65714285714286
2025-07-02,646.12,664.88,643.5,659.97,382879.99,BNB,251987600.2254,561589,0.0,63.0,,943761535.5163916,426207.7333333333,53390744.95249626,83.71428571428571,1d,2.145145563448958,0.021224611517316593,0.0640265076976502,71.28571428571428
2025-07-03,659.96,665.0,656.56,663.9,307349.05,BNB,203221196.9954,528793,0.0,73.0,,943761535.5163916,426207.7333333333,53390744.95249626,84.28571428571429,1d,0.5954816128005636,0.005937156283185957,0.06971292973723804,77.5142857142857
2025-07-04,663.9,664.4,650.08,653.39,287088.14,BNB,188473224.4027,498467,0.0,73.0,,924432227.709241,366873.0,54347747.508406095,84.85714285714286,1d,-1.5830697394185855,-0.015957341236018954,0.054505729829841365,77.74285714285713
2025-07-05,653.38,656.76,651.72,655.99,151159.11,BNB,98945860.5766,300244,0.0,67.0,,943761535.5163916,426207.7333333333,53390744.95249626,85.42857142857143,1d,0.3979246697990435,0.0039713504363658135,0.05826773932168073,74.37142857142857
2025-07-06,656.0,664.89,653.22,663.12,285320.92,BNB,188388629.3189,407785,0.0,66.0,,943761535.5163916,426207.7333333333,53390744.95249626,86.0,1d,1.0869068126038606,0.01081042435781033,0.06858432688968628,74.0
2025-07-07,663.12,663.2,656.5,661.04,240143.07,BNB,158667964.046,402066,0.0,73.0,,877919914.3653797,360355.0,52453309.478894114,86.14285714285714,1d,-0.3136687175775199,-0.0031416168903419437,0.06557471929621476,78.25714285714285
2025-07-08,661.05,662.64,657.24,660.52,262127.28,BNB,172981340.612,408104,0.0,65.0,,943761535.5163916,426207.7333333333,53390744.95249626,86.28571428571429,1d,-0.07866392351445484,-0.0007869487981412619,0.06482231739784691,73.51428571428572
2025-07-09,660.52,671.94,658.41,668.88,369372.61,BNB,245361947.3828,492907,0.0,66.0,,943761535.5163916,426207.7333333333,53390744.95249626,86.42857142857143,1d,1.26566947253679,0.012577268247014883,0.07691862484083803,74.17142857142858
2025-07-10,668.89,688.13,667.12,686.3,523184.88,BNB,353542616.0569,610078,0.0,71.0,,994200697.7250328,446575.0,60482809.52680318,86.57142857142857,1d,2.6043535462265233,0.025710178072786475,0.1021240884361615,77.22857142857143
2025-07-11,686.3,697.78,683.01,690.4,686984.04,BNB,474213336.1737,864131,0.0,71.0,,943761535.5163916,426207.7333333333,53390744.95249626,86.71428571428571,1d,0.5974063820486597,0.00595628985462914,0.10805648801944664,77.28571428571428
2025-07-12,690.4,697.38,679.47,686.1,373521.41,BNB,257258216.1861,599527,7.15e-06,79.0,,943761535.5163916,426207.7333333333,53390744.95249626,86.85714285714286,1d,-0.6228273464658152,-0.006247750072373025,0.1018347030906355,82.14285714285714
2025-07-13,686.1,694.47,685.3,692.33,256169.77,BNB,176975050.4151,423622,0.0,74.0,,859946006.057642,399761.0,53264048.43253949,87.0,1d,0.9080308992858166,0.009039330863072105,0.11084905660377362,79.2
2025-07-14,692.33,708.0,686.01,689.11,697502.14,BNB,487195509.1551,870788,3.146666666666667e-05,74.0,,943761535.5163916,426207.7333333333,53390744.95249626,87.57142857142857,1d,-0.4650961246804308,-0.004661810620144555,0.10618995254080334,79.42857142857143
2025-07-15,689.1,693.54,675.0,690.37,543593.97,BNB,371190744.9191,789443,0.0,73.0,,943761535.5163916,426207.7333333333,53390744.95249626,88.14285714285714,1d,0.18284453860777372,0.0018267758146497913,0.10801308021761777,79.05714285714285
2025-07-16,690.37,715.99,685.43,709.13,636689.7,BNB,446629640.8687,814517,0.0,70.0,,822284137.1792051,399196.0,49061620.40880899,88.71428571428571,1d,2.717383432072662,0.02681118081051466,0.13515742562796618,77.4857142857143
2025-07-17,709.13,728.4,707.08,721.11,1062916.76,BNB,763266406.8725,1240569,1.5606666666666667e-05,74.0,,943761535.5163916,426207.7333333333,53390744.95249626,89.28571428571429,1d,1.6893940462256563,0.01675282496374279,0.15249160782497975,80.11428571428571
2025-07-18,721.1,766.26,718.91,730.39,1413209.2,BNB,1046980638.2837,1657987,7.661333333333334e-05,73.0,,943761535.5163916,426207.7333333333,53390744.95249626,89.85714285714286,1d,1.2869049104852204,0.012786946530205458,0.16591908785739087,79.74285714285713
