Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame
2025-01-26,256.32,259.99,240.16,240.32,12427133.0,SOL,3145277678.503,1731622,7.011e-05,73.0,,752211391.2479999,309651.0,45984551.185417086,80.0,1d
2025-01-27,240.32,242.53,220.76,234.77,34871094.0,SOL,8050449053.242,4580449,-5.725333333333334e-05,71.0,,,,,,1d
2025-01-28,234.79,243.77,225.0,226.91,17754677.0,SOL,4173248404.357,2367555,2.4916666666666668e-05,72.0,,,,,,1d
2025-01-29,226.92,238.59,222.45,228.04,19766679.0,SOL,4558915039.853,2534734,4.292666666666666e-05,72.0,,832962291.0549035,355332.0,50806098.81323439,,1d
2025-01-30,228.04,244.59,226.71,238.15,14062399.0,SOL,3361746754.386,1701669,4.801666666666667e-05,70.0,,,,,,1d
2025-01-31,238.15,241.8,228.1,231.59,13247461.0,SOL,3121444996.028,1596426,-6.900000000000019e-07,76.0,,,,,,1d
2025-02-01,231.6,234.02,212.58,212.89,12487995.0,SOL,2801626077.931,1501316,-2.9653333333333333e-05,68.0,,988806848.7361435,357439.0,59813383.882176995,,1d
2025-02-02,212.88,218.71,191.85,203.42,32839924.0,SOL,6781262632.18,3874478,-1.4389999999999998e-05,60.0,,,,,81.0,1d
2025-02-03,203.42,218.42,173.33,216.2,48288452.0,SOL,9525171551.669,6649588,-6.801333333333333e-05,44.0,,,,,,1d
2025-02-04,216.19,219.89,201.756,206.48,27239923.0,SOL,5724973623.291,3507167,-0.00018146999999999998,72.0,,703987484.6980155,308619.0,41194953.77868615,,1d
2025-02-05,206.49,209.26,195.05,196.03,15772491.0,SOL,3195017079.912,2060611,-6.418333333333333e-05,54.0,,,,,,1d
2025-02-06,196.03,203.86,187.16,189.45,17548603.0,SOL,3431270479.897,2213571,2.1600000000000018e-06,49.0,,,,,,1d
2025-02-07,189.45,203.31,188.0,191.84,19668969.0,SOL,3844932058.837,2362772,1.375e-05,44.0,,929693395.8225701,498394.0,56217352.926798366,,1d
2025-02-08,191.84,200.75,189.67,199.21,9516816.0,SOL,1848034270.787,1207515,1.7803333333333333e-05,44.0,,,,,,1d
2025-02-09,199.22,207.26,193.22,200.32,14085475.0,SOL,2827113414.112,1599783,-0.00012102333333333333,46.0,,,,,82.0,1d
2025-02-10,200.31,208.9,195.71,200.32,15332965.0,SOL,3109434925.368,1902778,-7.908333333333334e-05,43.0,,788864727.616627,359522.0,43320703.27320515,,1d
2025-02-11,200.32,206.07,194.94,197.87,14219966.0,SOL,2853670664.745,1635033,-0.00019267666666666666,47.0,,,,,,1d
2025-02-12,197.86,198.49,188.3,196.71,16639131.0,SOL,3227525998.767,1984192,-4.4943333333333334e-05,46.0,,,,,,1d
2025-02-13,196.71,198.4,188.7,194.12,11143522.0,SOL,2151448962.04,1368161,-4.150666666666667e-05,50.0,,896695158.0102665,379906.0,48803029.99107258,,1d
2025-02-14,194.12,205.3,194.02,199.31,13253377.0,SOL,2642668189.838,1557586,5.075666666666667e-05,48.0,,,,,,1d
2025-02-15,199.31,200.21,192.3,194.35,7532129.0,SOL,1473301783.862,960242,2.2176666666666667e-05,50.0,,,,,,1d
2025-02-16,194.35,196.18,186.0,188.14,10972253.0,SOL,2095136818.156,1169160,-8.418666666666666e-05,54.0,,856968157.3389257,300091.0,46930841.28289941,88.0,1d
2025-02-17,188.15,189.61,174.55,177.47,21533353.0,SOL,3913264020.415,2052527,-9.812333333333332e-05,51.0,,,,,,1d
2025-02-18,177.47,178.99,160.77,169.21,34977765.0,SOL,5875341774.95,3308547,4.830666666666666e-05,47.0,,,,,,1d
2025-02-19,169.22,174.24,163.64,168.85,21567609.0,SOL,3654223014.438,2006025,-1.526e-05,44.0,,715086012.0841366,448569.0,38342134.3854138,,1d
2025-02-20,168.86,176.59,167.52,175.9,15676873.0,SOL,2710200220.524,1587415,-2.614333333333333e-05,49.0,,,,,,1d
2025-02-21,175.9,180.48,167.1,168.83,23614218.0,SOL,4116074682.904,2272438,1.4746666666666666e-05,55.0,,,,,,1d
2025-02-22,168.84,174.67,167.98,171.98,9539412.0,SOL,1643188678.466,1014369,-8.256000000000001e-05,49.0,,788864727.616627,551849.0,42595344.10286018,,1d
