Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame,pct_change,log_return,Close_norm,sentiment_mix
2025-06-16,105534.7,108900.0,104920.0,106750.1,166813.219,BTC,17887208567.0373,3134819,2.933e-05,61.0,,917456209.4405266,361092.0,49380099.58294062,29.428571428571427,1d,1.1517549694602502,0.011451727642824934,0.24639391665753413,48.371428571428574
2025-06-17,106750.1,107727.4,103300.0,104508.0,226051.863,BTC,23808393905.4278,3970409,3.278e-05,68.0,,943761535.5163916,426207.7333333333,53390744.95249626,29.857142857142858,1d,-2.1003259013340547,-0.021226965377842254,0.15188544836830534,52.74285714285714
2025-06-18,104508.0,105500.0,103426.1,104832.8,172706.399,BTC,18052952724.8775,3219465,2.8783333333333333e-05,52.0,,943761535.5163916,426207.7333333333,53390744.95249626,30.285714285714285,1d,0.31078960462356253,0.003103076520459986,0.1655763410583467,43.31428571428572
2025-06-19,104832.8,105185.7,103870.3,104607.1,87710.605,BTC,9170655647.4608,1606233,1.2856666666666668e-05,57.0,,798061223.2804582,308332.0,42106155.08953161,30.714285714285715,1d,-0.21529521294861853,-0.0021552730627592905,0.15606268810224366,46.48571428571428
2025-06-20,104607.1,106486.2,102255.3,103246.1,199102.135,BTC,20795551830.7014,3108911,4.609000000000001e-05,54.0,,943761535.5163916,426207.7333333333,53390744.95249626,31.142857142857142,1d,-1.3010589147390617,-0.013095968225650899,0.09869413837580862,44.857142857142854
2025-06-21,103246.1,103940.6,100789.9,102079.8,120771.35,BTC,12390156115.4865,2033604,4.45e-05,49.0,,943761535.5163916,426207.7333333333,53390744.95249626,31.57142857142857,1d,-1.1296310465964354,-0.011360598383741254,0.049532536946020694,42.028571428571425
2025-06-22,102079.8,103362.6,98115.4,100904.7,293562.636,BTC,29530840749.9246,4876091,5.676e-05,42.0,,672382290.480386,265421.0,34173347.374878295,32.0,1d,-1.1511582115168784,-0.011578353299156213,0.0,38.0
2025-06-23,100904.7,106050.0,99547.6,105290.9,297222.041,BTC,30424122122.1681,4717211,3.3966666666666675e-06,47.0,,943761535.5163916,426207.7333333333,53390744.95249626,31.571428571428573,1d,4.346873832437925,0.04255048860468593,0.18488606378404795,40.82857142857143
2025-06-24,105291.0,106239.0,104570.8,106034.9,144449.887,BTC,15211187542.8234,2565480,9.7e-06,65.0,,943761535.5163916,426207.7333333333,53390744.95249626,31.142857142857142,1d,0.706613771940412,0.007041289553310563,0.21624697561098966,51.457142857142856
2025-06-25,106034.9,108095.7,105755.6,107280.0,159277.823,BTC,17055576325.5144,2665403,1.7833333333333338e-06,66.0,,898604369.5205159,387919.0,48334581.60969528,30.714285714285715,1d,1.1742360298354626,0.011673953767671233,0.2687301359815882,51.885714285714286
2025-06-26,107280.1,108249.9,106500.0,106913.7,114433.386,BTC,12286992617.7236,2181091,1.542666666666667e-05,74.0,,943761535.5163916,426207.7333333333,53390744.95249626,30.285714285714285,1d,-0.3414429530201324,-0.003420271997629541,0.25328994511840425,56.51428571428571
2025-06-27,106913.8,107686.0,106313.1,107010.7,118637.45,BTC,12685404247.2056,2005062,2.1110000000000003e-05,65.0,,943761535.5163916,426207.7333333333,53390744.95249626,29.857142857142858,1d,0.09072738105593281,0.0009068624864459276,0.25737866614960503,50.94285714285714
2025-06-28,107010.6,107538.0,106767.0,107241.0,35670.419,BTC,3824571878.0348,747193,3.108666666666667e-05,65.0,,911172262.800523,388943.0,49716381.35582992,29.42857142857143,1d,0.2152121236474569,0.002149808740819314,0.26708621721646625,50.77142857142857
2025-06-29,107240.9,108499.0,107112.6,108309.8,79448.325,BTC,8563401844.1215,1398904,5.5366666666666666e-05,68.0,,943761535.5163916,426207.7333333333,53390744.95249626,29.0,1d,0.9966337501515321,0.009917001091317266,0.31213802173344934,52.4
2025-06-30,108309.8,108783.9,106686.4,107087.4,114681.386,BTC,12341253790.3646,1865096,2.988666666666667e-05,66.0,,943761535.5163916,426207.7333333333,53390744.95249626,30.428571428571427,1d,-1.1286144005436372,-0.011350315820454546,0.26061170638767805,51.77142857142857
2025-07-01,107087.3,107499.9,105182.6,105637.9,120434.401,BTC,12798966761.0981,2043731,2.165333333333333e-05,64.0,,779081248.5096745,325613.0,45807660.2879142,31.857142857142858,1d,-1.3535672730872195,-0.013628115076351786,0.19951272561731243,51.14285714285714
2025-07-02,105637.9,109690.4,105010.0,108800.0,177567.261,BTC,19179636772.5586,2621458,3.113333333333333e-05,63.0,,943761535.5163916,426207.7333333333,53390744.95249626,33.285714285714285,1d,2.9933385650415367,0.029494126024272628,0.3328008160581358,51.114285714285714
2025-07-03,108800.0,110484.0,108480.6,109545.2,141487.997,BTC,15492329480.4931,2342574,4.487e-05,73.0,,943761535.5163916,426207.7333333333,53390744.95249626,34.714285714285715,1d,0.684926470588243,0.006825915050390685,0.3642123100009273,57.68571428571428
2025-07-04,109545.1,109732.3,107200.0,107935.4,132305.847,BTC,14316422935.2606,1957162,4.012e-05,73.0,,924432227.709241,366873.0,54347747.508406095,36.142857142857146,1d,-1.4695303856307795,-0.01480434945813237,0.29635640158827825,58.25714285714285
2025-07-05,107935.3,108368.1,107688.3,108153.4,36660.948,BTC,3960654262.1664,734951,2.7086666666666663e-05,67.0,,943761535.5163916,426207.7333333333,53390744.95249626,37.57142857142857,1d,0.20197266142525372,0.0020176897086548857,0.3055454859676779,55.22857142857143
2025-07-06,108153.4,109684.7,107743.4,109145.8,72388.603,BTC,7864421489.3231,1278877,1.5446666666666666e-05,66.0,,943761535.5163916,426207.7333333333,53390744.95249626,39.0,1d,0.9175855775223063,0.00913401337573249,0.3473768957755505,55.2
2025-07-07,109145.8,109667.3,107456.0,108203.9,106397.578,BTC,11536683412.6303,1788546,3.356333333333334e-05,73.0,,877919914.3653797,360355.0,52453309.478894114,40.42857142857143,1d,-0.8629741135252167,-0.008667192973397192,0.3076741500096947,59.971428571428575
2025-07-08,108203.9,109180.0,107400.0,108873.1,95156.027,BTC,10320330229.2738,1658291,3.079e-05,65.0,,943761535.5163916,426207.7333333333,53390744.95249626,41.85714285714285,1d,0.6184619962866567,0.006165573689791283,0.33588210994865947,55.74285714285714
2025-07-09,108873.2,112036.8,108273.5,111199.9,167834.731,BTC,18458201635.8988,2548622,3.5806666666666664e-05,66.0,,943761535.5163916,426207.7333333333,53390744.95249626,43.285714285714285,1d,2.137167032076781,0.02114649872062008,0.4339608325816267,56.91428571428571
2025-07-10,111199.8,117500.0,110432.2,115979.2,225570.213,BTC,25573716456.3733,3420723,6.810333333333333e-05,71.0,,994200697.7250328,446575.0,60482809.52680318,44.71428571428572,1d,4.297935519726193,0.04208138214801312,0.63541675448284,60.485714285714295
2025-07-11,115979.2,118882.8,115186.7,117500.0,199819.357,BTC,23468288934.0047,3481508,0.0001,71.0,,943761535.5163916,426207.7333333333,53390744.95249626,46.142857142857146,1d,1.3112696069640162,0.01302746890069856,0.6995211559699542,61.057142857142864
2025-07-12,117500.0,118176.9,116862.4,117389.3,63722.472,BTC,7488784312.8489,1330505,0.0001,79.0,,943761535.5163916,426207.7333333333,53390744.95249626,47.57142857142857,1d,-0.09421276595744654,-0.0009425717407806339,0.6948549557828005,66.42857142857143
2025-07-13,117389.4,119655.0,117164.3,119038.3,90052.381,BTC,10670541370.9112,1810973,0.0001,74.0,,859946006.057642,399761.0,53264048.43253949,49.0,1d,1.4047276881283155,0.013949528225397108,0.764363213313213,64.0
2025-07-14,119038.3,123300.0,118862.6,119816.5,221556.12,BTC,26804448428.8877,4034670,9.350333333333332e-05,74.0,,943761535.5163916,426207.7333333333,53390744.95249626,47.71428571428572,1d,0.6537391747025945,0.006516115677924117,0.797165715441877,63.48571428571429
2025-07-15,119816.5,119919.4,115678.1,117738.5,269977.446,BTC,31656599892.9497,4738657,0.0001,73.0,,943761535.5163916,426207.7333333333,53390744.95249626,46.42857142857143,1d,-1.7343187290565165,-0.017495342163243516,0.709574351495123,62.37142857142857
2025-07-16,117738.6,120100.0,117017.1,118590.7,159165.948,BTC,18903224038.5254,3160880,0.0001,70.0,,822284137.1792051,399196.0,49061620.40880899,45.14285714285714,1d,0.7238074206822764,0.007212005065712535,0.7454960841011978,60.05714285714286
