Date,symbol,Open,High,Low,Close,Volume,funding_Rate,fear_greed_index,hash_rate,tx_count,miners_revenue,pct_change,log_return
2025-06-01,BNB,-0.5107291536027835,-0.5111716928754554,-0.5104495738940839,-0.5107508715708534,-0.9246565874648005,-0.481693297179213,-0.052611171585003655,-1.9103983847594395,-4.358808814887747,-2.873908569223483,,
2025-06-02,BNB,-0.5106680274301616,-0.5110656003081501,-0.5103930446666362,-0.5106329332055762,-0.863209648216722,-0.34615084510204797,0.5265943871489817,0.029362350230797443,0.05605294794548498,0.032344790742260744,0.7976871613235126,0.0079452245578005
2025-06-03,BNB,-0.5105498053820139,-0.5109214912375606,-0.510232992034706,-0.5107358775092337,-0.8520116377704244,-0.34615084510204797,0.5265943871489817,0.029362350230797443,0.05605294794548498,0.032344790742260744,-0.6907632934392338,-0.0069316010699299
2025-06-04,BNB,-0.5106528018633547,-0.5109641492906645,-0.5101426360807937,-0.5107000707949181,-0.8942054935287965,-0.34615084510204797,0.3817929974654853,-2.8066296996859963,-1.9780665996561155,-3.5247021926202122,0.2419367033099861,0.0024164450765873
2025-06-05,BNB,-0.5106169770002796,-0.51098824114449,-0.5110187255937277,-0.5113721180642299,-0.6281202957797452,-0.34615084510204797,0.019789523256744504,0.029362350230797443,0.05605294794548498,0.032344790742260744,-4.529890033638539,-0.046356972136753
2025-06-06,BNB,-0.5112893648991199,-0.5114218945133502,-0.5108709323123283,-0.5111628725774479,-0.8043445937624367,-1.4577928149979973,-0.8490188148442334,0.029362350230797443,0.05605294794548498,0.032344790742260744,1.4773265918786471,0.0146652042087332
2025-06-07,BNB,-0.5110797894501308,-0.5113684061773338,-0.510630966876938,-0.510980258334438,-1.0000744787960936,-0.548640606047839,-0.3422139509519963,-0.7086954380148468,-3.2591840638553062,-1.7165963689056964,1.270533281432451,0.0126252972791628
2025-06-08,BNB,-0.5108973065538421,-0.511309834239134,-0.5104702331699784,-0.5109527319228079,-1.058189893943173,-0.5121620772289786,0.3817929974654853,0.029362350230797443,0.05605294794548498,0.032344790742260744,0.1891114835257834,0.0018893289288127
2025-06-09,BNB,-0.5108695422849588,-0.5110541069466921,-0.5104404928936906,-0.5106400945484393,-0.8899126308474478,-0.8876098229111377,0.3817929974654853,0.029362350230797443,0.05605294794548498,0.032344790742260744,2.1438217420661765,0.0212116512346321
2025-06-10,BNB,-0.5105569703546289,-0.5109031460644641,-0.5102304947595978,-0.5104599420170387,-0.7575271570258097,-0.4379126005011299,1.0333992510412187,2.0604334070497337,0.10853851792232974,1.349976565719791,1.2094169258274334,0.0120216191628999
